Data statistics,Number of
Records passed,126
Server Name,No.,Type,PID,Status,Reason,Sem,Start,Error,CPU,Time,Cl.,User Names,Report,Action,Table,Sem,Sem,Sem,Sem,Sem,CurrSem.,Mutex,Mutex,Mutex
mdt2ds278_PWA_00,69,BTC,8323214,Stopped,CPIC,,Yes,,,2417,010,BC-BATCH,/BDL/TAS,,,0,0,0,0,0,0,0,0,0
mdt2ds278_PWA_00,76,BTC,15204560,Running,,,Yes,,,461,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds278_PWA_00,78,BTC,10485988,Running,,,Yes,,,1770,010,ALEREMOTE,CL_RSBK_,Insert,RSBKDATA,0,0,0,0,0,0,0,0,0
mdt2ds278_PWA_00,79,BTC,15925470,Running,,,Yes,,,182,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds278_PWA_00,82,BTC,13041718,Running,,,Yes,,,321,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds278_PWA_00,85,BTC,13959368,Running,,,Yes,,,161,010,ALEREMOTE,CL_SQL_R,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,14,DIA,25755814,Running,,,Yes,,,,000,SAPSYS,SAPLBTCH,Sequential Read,TBTCO,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,29,DIA,11600090,Running,,,Yes,,,1,010,WHS_BUSER,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,37,DIA,23855216,Running,,,Yes,,,4,010,WHS_BUSER,SAPLRSB3,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,55,BTC,24772724,Running,,,Yes,,,127,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,61,BTC,16646240,Running,,,Yes,,,11,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,63,BTC,26017936,Running,,,Yes,,,329,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,68,BTC,22806612,Running,,,Yes,,,1458,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,72,BTC,20643976,Running,,,Yes,,,1499,010,ALEREMOTE,CL_SQL_R,Sequential Read,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,73,BTC,23658600,Running,,,Yes,,,,010,BC-BATCH,SAPLSYDB,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,74,BTC,11665586,Running,,,Yes,,,,000,SAPSYS,RSBTCRTE,Load Report,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,75,BTC,18219086,Running,,,Yes,,,,000,SAPSYS,RSBTCRTE,Sequential Read,TBTCY,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,76,BTC,18743406,Running,,,Yes,,,350,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,78,BTC,18677892,Running,,,Yes,,,17,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds331_PWA_00,80,BTC,15990984,Running,,,Yes,,,,010,SMTMPM2,RSBTCRTE,,,0,0,0,0,0,0,0,0,0
Server Name,No.,Type,PID,Status,Reason,Sem,Start,Error,CPU,Time,Cl.,User Names,Report,Action,Table,Sem,Sem,Sem,Sem,Sem,CurrSem.,Mutex,Mutex,Mutex
mdt2ds331_PWA_00,83,BTC,10616852,Running,,,Yes,,,196,010,ALEREMOTE,SAPLRS_G,,,0,0,0,0,0,0,0,0,0
mdt2ds62_PWA_00,0,DIA,24707074,Stopped,CPIC,,Yes,,,,010,SLT_PWA_USER,SAPMSSY1,,,0,0,0,0,0,0,0,0,0
